annee;UAI;libelle;region;dont_apprentis_eple;taux_poursuite_etudes;taux_emploi_6_mois;taux_emploi_6_mois_attendu;va_emploi_6_mois;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
cumul 2019-2020;0011010T;Lycée professionnel du Bugey;AUVERGNE-RHONE-ALPES;ensemble;44.0;34.0;32.0;2.0;38.0;;;;;
cumul 2019-2020;0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont apprentis;30.0;;;;;;;;;
cumul 2019-2020;0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;49.0;26.0;25.0;1.0;32.0;;;;;
cumul 2019-2020;0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;49.0;15.0;22.0;-7.0;24.0;;;;;
cumul 2019-2020;0060027X;Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;41.0;20.0;31.0;-11.0;28.0;;;;;
cumul 2019-2020;0060038J;Lycée professionnel Vauban;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;42.0;26.0;31.0;-5.0;37.0;;;;;
cumul 2019-2020;0070002P;Lycée professionnel Joseph et Etienne De Montgolfier;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;36.0;31.0;31.0;;44.0;;;;;
cumul 2019-2020;0090024C;Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques;OCCITANIE;dont élèves en voie pro sco;69.0;43.0;45.0;-2.0;51.0;;;;;
cumul 2019-2020;0100016N;Lycée professionnel Denis Diderot;GRAND EST;ensemble;51.0;21.0;31.0;-10.0;29.0;;;;;
cumul 2019-2020;0120037A;Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication;OCCITANIE;ensemble;58.0;45.0;41.0;4.0;57.0;;;;;
cumul 2019-2020;0130049H;Lycée POlyvalent du Rempart;PROVENCE-ALPES-COTE D'AZUR;ensemble;38.0;58.0;49.0;9.0;68.0;;;;;
cumul 2019-2020;0130056R;Lycée professionnel lycée des métiers La Floride;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;30.0;29.0;36.0;-8.0;36.0;;;;;
cumul 2019-2020;0130063Y;Lycée professionnel Leau - Lycée des métiers de l'esthétique, de la coiffure et des métiers associés;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;;;;
cumul 2019-2020;0130150T;Lycée professionnel Jean Moulin - Lycée des métiers de la maintenance, de l'automobile et du nautisme;PROVENCE-ALPES-COTE D'AZUR;ensemble;41.0;44.0;46.0;-1.0;52.0;;;;;
cumul 2019-2020;0133314G;Lycée général et technologique privé Saint Louis - Sainte Marie;PROVENCE-ALPES-COTE D'AZUR;ensemble;;;;;;;;;;
cumul 2019-2020;0141193W;Lycée professionnel privé Notre Dame de Nazareth;NORMANDIE;ensemble;41.0;43.0;37.0;6.0;51.0;;;;;
cumul 2019-2020;0150008C;Lycée professionnel Raymond Cortat - Lycée des métiers de la restauration et du service aux personnes et aux entreprises;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;;;;
cumul 2019-2020;0170042D;Lycée d'enseignement général et technologique Cordouan - Lycée des métiers du tourisme;NOUVELLE-AQUITAINE;ensemble;37.0;41.0;53.0;-12.0;70.0;;;;;
cumul 2019-2020;0170052P;Lycée professionnel Blaise Pascal - Lycée des métiers de la maintenance, de la sécurité et des travaux publics;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;46.0;40.0;38.0;2.0;50.0;;;;;
cumul 2019-2020;0210003P;Lycée polyvalent Prieur de La Côte d'Or;BOURGOGNE-FRANCHE-COMTE;dont élèves en voie pro sco;50.0;36.0;43.0;-7.0;55.0;;;;;
cumul 2019-2020;0210018F;Lycée polyvalent Hippolyte Fontaine, lycée des métiers;BOURGOGNE-FRANCHE-COMTE;ensemble;49.0;57.0;50.0;7.0;60.0;;;;;
cumul 2019-2020;0210019G;Lycée polyvalent Le Castel;BOURGOGNE-FRANCHE-COMTE;ensemble;43.0;52.0;49.0;3.0;52.0;;;;;
cumul 2019-2020;0220186H;Lycée professionnel Rosa Parks - Lycée des métiers des services à la personne et de la sécurité;BRETAGNE;dont apprentis;5.0;57.0;69.0;-12.0;52.0;;;;;
cumul 2019-2020;0250014E;Lycée professionnel Condé - Lycée des métiers des services et soins à la personne et de l'hôtellerie-restauration;BOURGOGNE-FRANCHE-COMTE;ensemble;44.0;31.0;31.0;-1.0;34.0;;;;;
cumul 2019-2020;0251112Y;Lycée professionnel privé Saint Bénigne;BOURGOGNE-FRANCHE-COMTE;ensemble;46.0;31.0;40.0;-9.0;27.0;;;;;
cumul 2019-2020;0251711Z;Lycée polyvalent Claude Nicolas Ledoux;BOURGOGNE-FRANCHE-COMTE;ensemble;47.0;65.0;62.0;3.0;69.0;;;;;
cumul 2019-2020;0261100E;Lycée Professionnel Amblard - Lycée des métiers d'art, de la bijouterie-joaillerie;AUVERGNE-RHONE-ALPES;ensemble;56.0;37.0;37.0;;43.0;;;;;
cumul 2019-2020;0261139X;Lycée professionnel privé Montplaisir - Lycée des métiers des technologies médico-sociales, de l'administration et de la gestion d'entreprise;AUVERGNE-RHONE-ALPES;ensemble;54.0;51.0;46.0;5.0;61.0;;;;;
cumul 2019-2020;0271097W;Lycée professionnel Risle-Seine - Lycée des métiers des services aux entreprises;NORMANDIE;ensemble;48.0;42.0;43.0;-2.0;49.0;;;;;
cumul 2019-2020;0271282X;Lycée général et technologique privé Jeanne d'Arc - Saint Anselme;NORMANDIE;ensemble;64.0;;;;;;;;;
cumul 2019-2020;0281021H;Lycée professionnel Sully - Lycée des métiers maintenance, réseaux, énergies;CENTRE-VAL DE LOIRE;dont élèves en voie pro sco;67.0;38.0;35.0;3.0;30.0;;;;;
cumul 2019-2020;0290022S;Lycée polyvalent Paul Sérusier;BRETAGNE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0290030A;Lycée polyvalent Pierre Guéguin - Lycée des métiers de l'énergie industrielle - Lycée des métiers du nautisme;BRETAGNE;ensemble;55.0;41.0;39.0;2.0;59.0;;;;;
cumul 2019-2020;0290108K;Lycée polyvalent Dupuy de Lôme;BRETAGNE;dont élèves en voie pro sco;48.0;35.0;39.0;-4.0;45.0;;;;;
cumul 2019-2020;0291633T;Lycée professionnel René Laënnec - Lycée des métiers des services à la personne;BRETAGNE;ensemble;55.0;37.0;32.0;5.0;40.0;;;;;
cumul 2019-2020;0300058A;Lycée professionnel Frédéric Mistral, lycée des métiers de la construction;OCCITANIE;ensemble;57.0;29.0;29.0;;41.0;;;;;
